,Delta 2,Porcentual Welfare Changes
0,0.625,-0.024310735197188637
1,0.6447368421052632,0.011193242045416699
2,0.6644736842105263,0.046523154789929064
3,0.6842105263157895,0.08181780333828484
4,0.7039473684210527,0.11728368117744957
5,0.7236842105263158,0.15257842576787262
6,0.743421052631579,0.1876992135916656
7,0.763157894736842,0.22264073343290952
8,0.7828947368421052,0.25737942036155803
9,0.8026315789473685,0.29191826502753027
10,0.8223684210526315,0.32627068138305443
11,0.8421052631578948,0.36043334912197994
12,0.861842105263158,0.3944028332867918
13,0.881578947368421,0.42817557879776474
14,0.9013157894736842,0.46174790464576215
15,0.9210526315789472,0.49511599770546594
16,0.9407894736842105,0.528284888992227
17,0.9605263157894738,0.5612436025215021
18,0.9802631578947368,0.5939870690560372
19,1.0,0.6265059632473734
